TaskID,WorkflowStepIndex,MappedRequestID,RequiredModelType
task_Server2_test_0_0,0,req_2538946,ChatGPT
task_Server2_test_0_0,1,req_4580637,ChatGPT
task_Server2_test_0_0,2,req_3322237,ChatGPT
task_Server2_test_0_0,3,req_1910643,ChatGPT
task_Server2_test_0_0,4,req_5067418,GPT-4
task_Server2_test_0_1,0,req_2175518,ChatGPT
task_Server2_test_0_1,1,req_2451320,ChatGPT
task_Server2_test_0_1,2,req_3480871,GPT-4
task_Server2_test_0_1,3,req_3483273,ChatGPT
task_Server2_test_0_1,4,req_4272191,GPT-4v
task_Server2_test_0_2,0,req_1533201,ChatGPT
task_Server2_test_0_2,1,req_1943702,GPT-4
task_Server2_test_0_2,2,req_2261172,GPT-4v
task_Server2_test_0_2,3,req_4644115,ChatGPT
task_Server2_test_0_2,4,req_1882662,GPT-4v
task_Server2_test_0_3,0,req_1855810,ChatGPT
task_Server2_test_0_3,1,req_2905034,ChatGPT
task_Server2_test_0_3,2,req_2917046,GPT-4
task_Server2_test_0_3,3,req_5179959,GPT-4v
task_Server2_test_0_3,4,req_1705382,ChatGPT
task_Server2_test_0_4,0,req_2614399,ChatGPT
task_Server2_test_0_4,1,req_5200478,GPT-4
task_Server2_test_0_4,2,req_2164541,ChatGPT
task_Server2_test_0_4,3,req_4556344,ChatGPT
task_Server2_test_0_4,4,req_3323324,ChatGPT
task_Server2_test_0_5,0,req_4685122,ChatGPT
task_Server2_test_0_5,1,req_1692489,ChatGPT
task_Server2_test_0_5,2,req_5048390,ChatGPT
task_Server2_test_0_5,3,req_5030394,ChatGPT
task_Server2_test_0_5,4,req_5072408,GPT-4
task_Server2_test_0_6,0,req_1925005,GPT-4
task_Server2_test_0_6,1,req_1926412,ChatGPT
task_Server2_test_0_6,2,req_2033198,ChatGPT
task_Server2_test_0_6,3,req_1436670,ChatGPT
task_Server2_test_0_6,4,req_2122131,GPT-4v
task_Server2_test_0_7,0,req_2300699,ChatGPT
task_Server2_test_0_7,1,req_3767561,ChatGPT
task_Server2_test_0_7,2,req_2786751,ChatGPT
task_Server2_test_0_7,3,req_3531852,GPT-4
task_Server2_test_0_7,4,req_2913245,ChatGPT
task_Server2_test_0_8,0,req_4663541,ChatGPT
task_Server2_test_0_8,1,req_1443133,ChatGPT
task_Server2_test_0_8,2,req_3150630,ChatGPT
task_Server2_test_0_8,3,req_1793992,GPT-4
task_Server2_test_0_8,4,req_1797295,ChatGPT
task_Server2_test_0_9,0,req_1591430,ChatGPT
task_Server2_test_0_9,1,req_3573308,ChatGPT
task_Server2_test_0_9,2,req_1903034,GPT-4
task_Server2_test_0_9,3,req_3385527,GPT-4v
task_Server2_test_0_9,4,req_1582718,GPT-4v
task_Server2_test_0_10,0,req_2591564,ChatGPT
task_Server2_test_0_10,1,req_4294311,ChatGPT
task_Server2_test_0_10,2,req_3988191,ChatGPT
task_Server2_test_0_10,3,req_2711360,GPT-4
task_Server2_test_0_10,4,req_1464999,GPT-4v
task_Server2_test_0_11,0,req_3180753,ChatGPT
task_Server2_test_0_11,1,req_5105590,GPT-4
task_Server2_test_0_11,2,req_3219521,GPT-4v
task_Server2_test_0_11,3,req_3709348,GPT-4v
task_Server2_test_0_11,4,req_5091129,GPT-4v
