TaskID,Split,TaskLongitude,TaskLatitude,TaskSize,RequiredModelTypes
task_Server2_test_0_0,test,-2.224218059,53.99720053,71,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server2_test_0_1,test,-3.547659414,55.26884576,211,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v""]"
task_Server2_test_0_2,test,1.455358124,51.17919212,260,"[""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""ChatGPT"", ""GPT-4v""]"
task_Server2_test_0_3,test,-1.586796208,52.65943157,191,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""ChatGPT""]"
task_Server2_test_0_4,test,-0.20717408,54.12233477,383,"[""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT""]"
task_Server2_test_0_5,test,-4.235443583,50.73536683,71,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server2_test_0_6,test,-2.220310541,54.08632318,397,"[""GPT-4"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4v""]"
task_Server2_test_0_7,test,-1.652043541,54.50259435,127,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT""]"
task_Server2_test_0_8,test,-3.419250299,56.29684037,432,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT""]"
task_Server2_test_0_9,test,1.685875662,52.62597033,278,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""GPT-4v""]"
task_Server2_test_0_10,test,1.682668099,52.61890095,363,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v""]"
task_Server2_test_0_11,test,-5.575822611,57.27917002,91,"[""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""GPT-4v"", ""GPT-4v""]"
task_Server2_test_0_12,test,-3.550587133,50.37201873,340,"[""GPT-4"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4v""]"
task_Server2_test_0_13,test,-3.553564195,51.4008608,187,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""ChatGPT""]"
task_Server2_test_0_14,test,-5.57290425,57.23092252,324,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""ChatGPT""]"
task_Server2_test_0_15,test,-5.741570707,50.15097198,234,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v""]"
task_Server2_test_0_16,test,-1.820546823,51.85602725,413,"[""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""ChatGPT"", ""GPT-4v""]"
task_Server2_test_0_17,test,-6.834387622,57.49959797,63,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT""]"
task_Server2_test_0_18,test,-5.554221026,57.28773873,196,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server2_test_0_19,test,-4.864609448,50.13948689,291,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v""]"
task_Server2_test_0_20,test,0.970630091,51.84221375,268,"[""GPT-4"", ""GPT-4v"", ""ChatGPT"", ""GPT-4v"", ""GPT-4v""]"
task_Server2_test_0_21,test,-2.691188946,52.40468386,84,"[""GPT-4"", ""GPT-4v"", ""ChatGPT"", ""GPT-4v"", ""ChatGPT""]"
task_Server2_test_0_22,test,-6.747872891,57.33360226,512,"[""GPT-4"", ""ChatGPT"", ""ChatGPT"", ""GPT-4v"", ""GPT-4v""]"
task_Server2_test_0_23,test,-4.277476077,50.83295512,33,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v""]"
task_Server2_test_0_24,test,-4.362272491,51.93554605,16,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server2_test_0_25,test,-4.65695673,55.66919484,231,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT""]"
task_Server2_test_0_26,test,-1.928643373,51.83303399,68,"[""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""ChatGPT"", ""GPT-4v""]"
task_Server2_test_0_27,test,-4.836038834,50.23555764,337,"[""GPT-4"", ""ChatGPT"", ""GPT-4v"", ""GPT-4v"", ""GPT-4v""]"
task_Server2_test_0_28,test,0.491905942,52.88185058,194,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""ChatGPT""]"
task_Server2_test_0_29,test,-4.091945063,52.78072336,424,"[""GPT-4"", ""GPT-4v"", ""GPT-4v"", ""ChatGPT"", ""GPT-4v""]"
task_Server2_test_0_30,test,-3.445142046,53.43319296,227,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v""]"
task_Server2_test_0_31,test,-2.535539501,56.54302053,71,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server2_test_0_32,test,-3.220043987,57.57843811,61,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server2_test_0_33,test,-1.429296298,50.70487013,241,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server2_test_0_34,test,1.359755028,51.04725823,457,"[""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""ChatGPT"", ""GPT-4v""]"
task_Server2_test_0_35,test,-0.232221411,53.22947226,235,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v""]"
task_Server2_test_0_36,test,-4.826987128,50.1270556,274,"[""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""GPT-4v"", ""GPT-4v""]"
task_Server2_test_0_37,test,-5.793982434,50.02944437,471,"[""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v"", ""GPT-4v""]"
task_Server2_test_0_38,test,-5.142381388,54.82358859,52,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""ChatGPT""]"
